fid,id,Ordnung,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
586,44,1,14,0,14,199.846696232064,28.0724869337849,402086.385566455,5532081.37622441
587,45,1,0,0,0,0,337.674088066952,402030.038219611,5531939.85499143
588,45,1,1,0,1,34.6371150979678,333.87128811254,402016.880461257,5531971.89563963
589,45,1,2,0,2,44.1988042392963,330.068488158127,402012.109518342,5531980.18201417
590,46,1,0,0,0,0,61.8147015664107,402023.459340434,5532010.51516701
591,46,1,1,0,1,13.5034194021069,62.0622548400243,402035.361587494,5532016.89316439
592,46,1,2,0,2,27.2286789673824,62.0945917937849,402047.514936814,5532023.27116176
593,46,1,3,0,3,41.2933645607483,61.7979831480504,402059.919388392,5532029.90026138
594,46,1,4,0,4,52.5280511531179,61.7165908221689,402069.812817383,5532035.22362927
595,47,1,0,0,0,0,331.814701568642,402103.259638237,5531995.6499133
596,47,1,1,0,1,27.0068388045747,331.986537748957,402090.503643497,5532019.45440742
597,47,1,2,0,2,43.1365971770387,334.376842189542,402082.970575737,5532033.71701572
598,47,1,3,0,3,57.802344921734,333.217624806134,402077.145003336,5532047.17609678
599,47,1,4,0,4,62.1005232430329,329.839939162457,402074.985523912,5532050.89241021
600,48,4,0,0,0,0,343.066843699262,402074.20710691,5531924.78885591
601,48,4,1,0,1,10.6042776016317,341.055533483856,402071.118549128,5531934.93338716
602,48,4,2,0,2,35.8796876367581,339.695199604965,402062.078867816,5531958.53699947
603,48,4,3,0,3,49.3181400201508,343.154966236776,402057.55902716,5531971.19255331
604,48,4,4,0,4,62.5702505519366,347.078982115375,402054.344918249,5531984.04898895
605,48,4,5,0,5,68.8295504470756,348.194207698676,402053.06429673,5531990.17588406
606,49,1,0,0,0,0,60.0072653979915,401924.600381198,5532001.77680841
607,49,1,1,0,1,17.2796307111143,62.1189688870505,401939.566075814,5532010.41472611
608,49,1,2,0,2,46.3896503321686,63.8328105982937,401965.781151619,5532023.07027994
609,49,1,3,0,3,78.7309973861958,64.4375288892697,401994.708131817,5532037.53377004
610,49,1,4,0,4,99.2713463263381,65.7010757052593,402013.390139861,5532046.07124684
611,49,1,5,0,5,108.949473677598,65.9620424524571,402022.228939366,5532050.0135523
612,50,1,0,0,0,0,305.46090814745,401795.031615728,5531987.23798763
613,50,1,1,0,1,26.1426274581104,304.293529522351,401773.738144193,5532002.40456406
614,50,1,2,0,2,54.4470094961736,303.251991467068,401750.034090975,5532017.87246319
615,50,1,3,0,3,95.3421249594879,303.270528334858,401715.884183797,5532040.37122557
616,50,1,4,0,4,107.460560344138,305.51910413758,401705.739652547,5532047.0003252
617,50,1,5,0,5,110.896167837911,307.874983642329,401703.027748153,5532049.10958417
618,51,2,0,0,0,0,358.740954792715,401802.614903939,5532087.52822974
619,51,2,1,0,1,13.7134941612427,0.07204261426575,401802.313581229,5532101.23841307
620,51,2,2,0,2,60.8846424461947,1.97801429150747,401803.468651619,5532148.39541724
621,51,2,3,0,3,76.6695304074519,352.76411438753,401804.171737943,5532164.16463909
622,51,2,4,0,4,103.770898423742,344.822016606727,401796.236906569,5532190.07839218
623,51,2,5,0,5,125.550831505735,345.224254445016,401791.214861396,5532211.27142281
624,51,2,6,0,6,142.810600565605,341.462674132699,401786.39369803,5532227.84417188
625,51,2,7,0,7,154.096243458533,339.145541960961,401782.376061891,5532238.39046675
626,52,1,0,0,0,0,54.554289671908,401774.943435035,5532106.91332411
627,52,1,1,0,1,14.5483369966355,54.4389407247925,401786.795461643,5532115.35036
628,52,1,2,0,2,24.1927560211774,53.7997423020268,401794.629852114,5532120.9750506
629,52,1,3,0,3,32.0874365910501,54.0017356971177,401800.957629032,5532125.69577306
630,52,1,4,0,4,34.6094834762703,54.7275785678589,401803.016667553,5532127.15216616
631,53,1,0,0,0,0,50.5690588242938,401756.612970152,5532122.13012099
632,53,1,1,0,1,15.7347175112038,49.6160010578522,401768.766319471,5532132.12399088
633,53,1,2,0,2,31.8542308690926,46.200057302086,401780.869448339,5532142.77072665
634,53,1,3,0,3,49.578635579773,43.2440199332559,401793.123238562,5532155.57694184
635,53,1,4,0,4,61.3419121139308,38.9338749810848,401801.108290387,5532164.21485954
636,53,1,5,0,5,65.1177462206996,35.1168814084193,401803.280324925,5532167.30341732
637,54,1,0,0,0,0,71.6179558526271,401680.918194278,5532106.3232338
638,54,1,1,0,1,17.1992399963093,72.0103966803085,401697.239841091,5532111.74704259
639,54,1,2,0,2,31.3190484440736,72.5629548181323,401710.698922156,5532116.01578099
640,54,1,3,0,3,44.6777830039388,70.4385891720893,401723.454916896,5532119.98319667
641,54,1,4,0,4,50.6835380407452,68.1541062159039,401729.029387038,5532122.21800678
642,55,1,0,0,0,0,70.4551376763879,401712.381307289,5532136.53083552
643,55,1,1,0,1,10.6582186875328,71.9037207945105,401722.425397635,5532140.09648759
644,55,1,2,0,2,21.3514018127972,76.5037232125449,401732.670369789,5532143.15993515
645,55,1,3,0,3,27.7837379619493,79.0865755851448,401738.998146707,5532144.31500554
646,55,1,4,0,4,31.0634833693743,78.5180086578329,401742.212255618,5532144.96787141
647,56,1,0,0,0,0,61.320963730709,401770.38592904,5532160.5864319
648,56,1,1,0,1,13.3948404602739,60.9467536617061,401782.137514745,5532167.01464972
649,56,1,2,0,2,22.3897706000642,59.0506756525736,401789.971905216,5532171.43404948
650,56,1,3,0,3,31.5568947120695,54.7106154225863,401797.705854782,5532176.35565375
651,56,1,4,0,4,34.8119394020716,51.8924231327286,401800.267097821,5532178.36447181
652,57,1,0,0,0,0,346.029538110177,401849.684022326,5532197.49846392
653,57,1,1,0,1,21.2180071338302,348.135787334438,401844.561536249,5532218.08884914
654,57,1,2,0,2,37.2187190870502,349.997086223626,401841.849631855,5532233.85807098
655,57,1,3,0,3,55.2849638332141,349.553236271904,401838.635522944,5532251.63611089
656,57,1,4,0,4,68.8775537774077,349.691139483939,401836.124500358,5532264.99475105
657,57,1,5,0,5,78.1578801796793,346.462606671912,401834.517445902,5532274.13487327
658,57,1,6,0,6,94.5516080159031,342.897271031202,401829.696282536,5532289.80365421
659,58,1,0,0,0,0,90,401890.412808681,5532169.87721547
660,58,1,1,0,1,27.6212484529242,90.5151942690139,401918.034057134,5532169.87721547
661,58,1,2,0,2,55.548335478828,94.5098576516311,401945.956628297,5532169.37501095
662,58,1,3,0,3,67.1108242540587,103.868081684479,401957.406891292,5532167.7679565
663,58,1,4,0,4,79.5966426191402,111.271679036331,401969.158476998,5532163.54943855
664,58,1,5,0,5,94.6319447111189,106.990949048114,401983.019321676,5532157.72386615
665,58,1,6,0,6,112.754222786537,98.7627841876989,402000.797361589,5532154.20843453
666,58,1,7,0,7,125.487657689583,91.1272874820199,402013.452915426,5532152.80226188
667,58,1,8,0,8,135.355944508245,81.1436941789993,402023.296123966,5532153.50534821
668,58,1,9,0,9,148.99817099946,73.6196809687873,402036.554323223,5532156.71945712
669,58,1,10,0,10,159.416948084838,72.3693904829415,402046.397531763,5532160.13444783
670,58,1,11,0,11,168.09506539456,73.6111593415509,402054.73412675,5532162.54502952
671,58,1,12,0,12,173.703815310256,73.3498945127268,402060.107715086,5532164.15208397
672,59,1,0,0,0,0,50.4735469718442,401922.604118242,5532177.36006278
673,59,1,1,0,1,29.0385404559,45.237802439355,401945.002439714,5532195.84118902
674,59,1,2,0,2,47.7887346805757,42.0557608258008,401957.05534813,5532210.20423821
675,59,1,3,0,3,61.4977222268392,45.2270940675734,401966.597233959,5532220.04744675
676,59,1,4,0,4,76.6296701972885,47.1035648078163,401977.545292437,5532230.49330071
677,59,1,5,0,5,93.696350178393,46.6403075825951,401990.200846274,5532241.94356371
678,59,1,6,0,6,103.426684202208,42.1728767655283,401997.131268613,5532248.77354514
679,59,1,7,0,7,108.462020208279,38.927543591088,402000.295157072,5532252.69074038
680,60,1,0,0,0,0,50.6944307174394,402098.928124275,5532106.39856448
681,60,1,1,0,1,25.0525064497503,43.0770244570378,402118.313218644,5532122.26822723
682,60,1,2,0,2,42.1929165766114,33.8336580840011,402128.256868087,5532136.22951281
683,60,1,3,0,3,57.2687582578828,31.8051536057313,402136.292140364,5532148.98550755
684,60,1,4,0,4,77.5092825588471,31.8095776494431,402146.838435228,5532166.26134294
685,60,1,5,0,5,86.1757669981414,32.2165460587897,402151.458716788,5532173.5935289
686,61,5,0,0,0,0,8.09749235232406,401524.657258712,5531108.71907036
687,61,5,1,0,1,24.9572908456901,7.99031583452882,401528.172690333,5531133.42753261
688,61,5,2,0,2,51.3210669436429,8.05379445279356,401531.788562858,5531159.54216751
689,61,5,3,0,3,111.704430653232,7.98611081246197,401540.426480556,5531219.30450507
690,61,5,4,0,4,141.506111634855,7.87759277118878,401544.444116695,5531248.83413069
691,61,5,5,0,5,207.84122636544,8.47924207402932,401553.684679813,5531314.52248156
692,61,5,6,0,6,235.599646935224,9.03803964462562,401558.003638662,5531341.9428482
693,61,5,7,0,7,255.233210345493,8.55569639634631,401561.11730667,5531361.32794257
694,61,5,8,0,8,289.210454419944,8.00079434983578,401565.838029133,5531394.97564523
695,61,5,9,0,9,331.710370334245,8.33274388033643,401571.764042437,5531437.06038378
696,61,5,10,0,10,386.470931446978,8.19325110918083,401580.000196521,5531491.19803075
697,61,5,11,0,11,413.332254473388,7.68218434038795,401583.616069046,5531517.81487017
698,61,5,12,0,12,447.381720747761,9.32263064361113,401588.135909702,5531551.56301373
699,61,5,13,0,13,458.944645769581,9.64297220140793,401590.345609578,5531562.91283583
700,61,5,14,0,14,488.277001103436,7.99873489011118,401594.564127524,5531591.94025693
701,61,5,15,0,15,530.848899068316,7.95443343911661,401600.289259021,5531634.12543638
702,61,5,16,0,16,563.32037286988,8.1912920633717,401604.909540581,5531666.26652549
703,61,5,17,0,17,585.848710002954,8.70669039247863,401608.123649492,5531688.56440606
704,61,5,18,0,18,615.96758594588,8.88069189962551,401612.944812858,5531718.29491349
705,61,5,19,0,19,645.016546931118,9.37716548987061,401617.263771707,5531747.02101188
706,61,5,20,0,20,660.324808262125,9.10377449003461,401619.9756761,5531762.0871474
707,61,5,21,0,21,698.918498406003,7.86420459261802,401625.349264436,5531800.30491117
708,61,5,22,0,22,747.115534541846,8.26778345607974,401631.827702709,5531848.06456077
709,61,5,23,0,23,767.443592294856,8.86483080197506,401634.941370717,5531868.15274146
710,61,5,24,0,24,781.372413617097,8.13400276618188,401637.100850141,5531881.91314523
711,61,5,25,0,25,837.123109501223,7.93447023198882,401644.232154287,5531937.20586259
712,61,5,26,0,26,863.224461577776,8.19212146996251,401648.099129071,5531963.01917478
713,61,5,27,0,27,907.635273385911,8.01391600995677,401654.17580373,5532007.0122905
714,61,5,28,0,28,932.038589260465,8.13836895361315,401657.6410149,5532031.16832778
715,61,5,29,0,29,956.235936957502,13.4605432017765,401661.056005618,5532055.12348326
716,61,5,30,0,30,963.557279658668,32.7870358059217,401663.416366849,5532062.0539056
717,61,5,31,0,31,971.622158845115,60.8642272913599,401669.292159702,5532067.57815529
718,61,5,32,0,32,978.590325698938,82.9164367971893,401676.021700234,5532069.38609155
719,61,5,33,0,33,1011.63919886247,90.8706894976986,401709.066757474,5532068.88388704
720,62,5,0,0,0,0,88.8443341055222,401712.682629999,5532070.03895743
721,62,5,1,0,1,52.290126644873,88.560527704311,401764.962120253,5532071.09358691
722,62,5,2,0,2,87.3598631360843,88.3396225524735,401800.015995562,5532072.1482164
723,62,5,3,0,3,125.190566421322,88.361910361578,401837.831995717,5532073.20284589
724,62,5,4,0,4,181.763074971685,88.255220522595,401894.380224368,5532074.86012079
725,62,5,5,0,5,224.672770239168,88.3400908899447,401937.268490148,5532076.21607299
726,62,5,6,0,6,274.257551204583,88.8790752637435,401986.836076008,5532077.52180474
727,62,5,7,0,7,319.409431073656,89.2671128714788,402031.984262115,5532078.09933993
728,63,5,0,0,0,0,90.1725771268797,402036.152559609,5532080.25881935
729,63,5,1,0,1,50.0197968248468,85.1766382466988,402086.172129535,5532080.108158
730,63,5,2,0,2,60.6209523510121,84.5231388671977,402096.617983495,5532081.91609426
731,63,5,3,0,3,91.0605123025615,88.800952908448,402127.051577245,5532082.51873968
